page,outbreak_id,start_date,end_date,latitude,longitude,location,epidemiological_unit,species,bird_type,susceptible,cases,deaths,killed_disposed,slaughtered_commercial,vaccinated,year,month,duration_days
21,0242400043,2024-06-21,2024-11-06,-17.118688,-71.886074,"MEJIA, MEJIA, ISLAY, AREQUIPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,6,138
22,0042400164,2024-09-10,2024-11-04,-6.37989,-79.76615,"LA VIÑA, JAYANCA, LAMBAYEQUE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,9,55
23,0052400206,2024-09-10,2024-10-25,-13.34115,-72.188955000000007,"MARAS, MARAS, URUBAMBA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,9,45
24,0042400158,2024-08-28,2024-10-24,-6.53844,-80.015359,"MORROPE, LAMBAYEQUE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,8,57
25,0042400151,2024-08-19,2024-10-24,-8.361888,-78.716011,"TOMABAL, VIRU, VIRU, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,8,66
26,0092400033,2024-05-29,2024-09-05,-13.632779,-71.731683,"LUCRE, LUCRE, QUISPICANCHI,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,5,99
27,0282400047,2024-05-10,2024-08-08,-6.60292,-79.90128,"CAPILLA SANTA ROSA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,5,90
28,0112400026,2024-04-20,2024-06-16,-6.63257,-79.39659,"CHONGOYAPE, CHONGOYAPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,57
29,0212400165,2024-06-09,2024-07-19,-13.524561,-71.978569,"WANCHAQ, WANCHAQ, CUSCO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,6,40
30,0092400019,2024-03-27,2024-05-26,-7.167847,-79.460827,"QUITO, PACANGA, CHEPEN, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,3,60
31,0262400029,2024-04-21,2024-07-11,-7.718854,-79.3196,"CHUMPON, PAIJAN, ASCOPE, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,81
32,0162400083,2024-04-23,2024-05-07,-12.298817,-76.902802,"LURIN, LURIN, LIMA, LIMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,14
33,0162400077,2024-04-21,2024-07-05,-14.222403,-76.154966,"ICA, ICA, ICA, ICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,75
34,0162400069,2024-04-16,2024-06-04,-14.29369,-76.184112,"PARACAS, PARACAS, PISCO, ICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,49
35,0282400026,2024-04-02,2024-04-24,-14.17244,-76.194671,"PARACAS, PARACAS, PISCO, ICA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,22
36,0262400034,2024-05-06,2024-07-11,-3.500756,-80.392133,"PUERTO PIZARRO, TUMBES,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,5,66
37,0042400101,2024-06-12,2024-07-04,-6.75956,-79.78675,"INFIERNILLO, POMALCA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,6,22
38,0112400025,2024-04-09,2024-05-06,-6.76987,-79.8958,"SAN JOSE, SAN JOSE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,27
39,0092400014,2024-02-21,2024-05-29,-6.76018,-79.78584,"POMALCA, POMALCA, CHICLAYO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2,98
40,0052400074,2024-05-02,2024-05-02,-7.13487,-78.505,"SANTA BARBARA, LOS BAÑOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,5,0
41,0042400073,2024-04-23,2024-05-28,-6.46688,-79.95826,"MONTE HERMOSO, MORROPE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,4,35
42,0282400017,2024-03-07,2024-04-30,-6.492,-79.89059,"CHORRILLOS, CHORRILLOS, LIMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,3,54
43,0092300170,2023-12-16,2024-03-12,-7.720125,-77.86557,"MARCABALITO, MARCABAL,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,12,87
44,0092400002,2024-01-05,2024-03-13,-7.11875,-79.5018,"CERRO COLORADO, PACANGA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,1,68
45,0092300172,2023-12-18,2024-03-12,-7.1523,-79.40956,"PACANGA, CHEPEN, LA LIBERTAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,12,85
46,0092300160,2023-11-29,2024-03-12,-7.16736,-79.42611,"PACANGA, CHEPEN, LA LIBERTAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,104
47,0042400005,2024-01-05,2024-02-27,-6.49992,-80.00754,"MORROPE, LAMBAYEQUE,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,1,53
49,0102300236,2023-11-28,2024-02-12,-14.06607,-75.763526,SECTOR EL MILAGRO MZ A LT 15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,76
50,0032300009,2023-02-14,2023-04-19,-9.523236,-77.512809,"INDEPENDENCIA (CENTENARIO),",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2,64
51,0032300066,2023-12-25,2024-02-13,-3.629381,-80.201948,"JOSE ABELARDO QUIÑONES,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,12,50
52,0142300139,2023-11-05,2024-01-22,-15.022375,-73.783182,"CORACORA, CORACORA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,78
53,0042300438,2023-12-06,2024-02-06,-6.88513,-79.56961,"SANTA ROSA BAJO, CAYALTI,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,12,62
54,0092300158,2023-12-02,2024-01-31,-8.137653,-79.021525,"MOCHE, TRUJILLO, LA LIBERTAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,12,60
55,0042300409,2023-11-12,2024-01-25,-6.75908,-79.78009,"POMALCA, CHICLAYO,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,74
56,0092300132,2023-10-24,2024-01-25,-8.150973,-79.012903,"SUN, MOCHE, TRUJILLO, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,93
57,0092300146,2023-11-16,2024-01-26,-5.612665,-78.440305,"La Peca, Bagua, Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,11,71
58,0042300367,2023-10-18,2024-01-05,-8.12791,-78.98836,"MOCHE, TRUJILLO, LA LIBERTAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,10,79
